[Info  - 16:02:29] Angular language server process ID: 7433
[Info  - 16:02:29] Using typescript/lib/tsserverlibrary v4.8.2 from /home/rugery/.vscode/extensions/angular.ng-template-15.2.0/node_modules/typescript/lib/tsserverlibrary.js
[Error - 16:18:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:33] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:33] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:33] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:33] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:33] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:33] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:33] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:34] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:34] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:34] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:35] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:35] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:35] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:35] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:35] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:35] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:36] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:37] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:37] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:37] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:18:37] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
